,Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,,AAPL,GOOG,MSFT,SWPPX,VFIAX,VOO,AAPL,GOOG,MSFT,SWPPX,VFIAX,VOO,AAPL,GOOG,MSFT,SWPPX,VFIAX,VOO,AAPL,GOOG,MSFT,SWPPX,VFIAX,VOO,AAPL,GOOG,MSFT,SWPPX,VFIAX,VOO,AAPL,GOOG,MSFT,SWPPX,VFIAX,VOO
0,2017-10-19,37.00879669189453,49.22249984741211,73.2081069946289,36.388641357421875,217.9779510498047,215.1506805419922,38.994998931884766,49.22249984741211,77.91000366210938,40.0099983215332,236.72000122070312,234.99000549316406,39.27000045776367,49.444000244140625,77.93000030517578,40.0099983215332,236.72000122070312,234.99000549316406,38.755001068115234,48.919498443603516,77.3499984741211,40.0099983215332,236.72000122070312,233.6199951171875,39.1875,49.29999923706055,77.56999969482422,40.0099983215332,236.72000122070312,234.02999877929688,170336800,26272000,15092800,0,0,1653600
1,2017-10-20,37.0728645324707,49.40999984741211,74.05379486083984,36.57963180541992,219.110595703125,216.22189331054688,39.0625,49.40999984741211,78.80999755859375,40.220001220703125,237.9499969482422,236.16000366210938,39.4375,49.54999923706055,78.97000122070312,40.220001220703125,237.9499969482422,236.19000244140625,38.9900016784668,49.229000091552734,78.22000122070312,40.220001220703125,237.9499969482422,235.52999877929688,39.15250015258789,49.47200012207031,78.31999969482422,40.220001220703125,237.9499969482422,235.8000030517578,95896400,23664000,22866400,0,0,1296300
2,2017-10-23,37.05388259887695,48.42250061035156,74.07258605957031,36.434112548828125,218.24501037597656,215.43450927734375,39.04249954223633,48.42250061035156,78.83000183105469,40.060001373291016,237.00999450683594,235.3000030517578,39.42250061035156,49.47600173950195,79.33999633789062,40.060001373291016,237.00999450683594,236.49000549316406,38.875,48.305999755859375,78.76000213623047,40.060001373291016,237.00999450683594,235.14999389648438,39.22249984741211,49.47600173950195,78.98999786376953,40.060001373291016,237.00999450683594,236.49000549316406,87937200,29568000,20627200,0,0,1101000
3,2017-10-24,37.274539947509766,48.527000427246094,74.10078430175781,36.49777603149414,218.6041259765625,215.73663330078125,39.275001525878906,48.527000427246094,78.86000061035156,40.130001068115234,237.39999389648438,235.6300048828125,39.35499954223633,48.61149978637695,79.19999694824219,40.130001068115234,237.39999389648438,235.88999938964844,39.04999923706055,48.04999923706055,78.45999908447266,40.130001068115234,237.39999389648438,235.27000427246094,39.0724983215332,48.5,78.9000015258789,40.130001068115234,237.39999389648438,235.67999267578125,71028800,24244000,17517200,0,0,1818400
4,2017-10-25,37.11083221435547,48.666500091552734,73.88465118408203,36.324974060058594,217.5819854736328,214.70204162597656,39.102500915527344,48.666500091552734,78.62999725341797,39.939998626708984,236.2899932861328,234.5,39.38750076293945,48.804500579833984,79.0999984741211,39.939998626708984,236.2899932861328,235.41000366210938,38.817501068115234,48.0260009765625,78.01000213623047,39.939998626708984,236.2899932861328,233.2899932861328,39.227500915527344,48.41849899291992,78.58000183105469,39.939998626708984,236.2899932861328,235.3000030517578,84828400,24226000,20410800,0,0,1943400
5,2017-10-26,37.34809494018555,48.62799835205078,74.00682067871094,36.370452880859375,217.85824584960938,214.90342712402344,39.352500915527344,48.62799835205078,78.76000213623047,39.9900016784668,236.58999633789062,234.72000122070312,39.45750045776367,49.380001068115234,79.41999816894531,39.9900016784668,236.58999633789062,235.41000366210938,39.19499969482422,48.61000061035156,78.75,39.9900016784668,236.58999633789062,234.6699981689453,39.307498931884766,49.0,79.19999694824219,39.9900016784668,236.58999633789062,235.10000610351562,68002000,40842000,32120700,0,0,3298200
6,2017-10-27,38.68627166748047,50.9635009765625,78.75204467773438,36.67058181762695,219.61703491210938,216.73460388183594,40.76250076293945,50.9635009765625,83.80999755859375,40.31999969482422,238.5,236.72000122070312,40.900001525878906,52.419498443603516,86.19999694824219,40.31999969482422,238.5,236.8800048828125,39.67499923706055,50.40999984741211,83.61000061035156,40.31999969482422,238.5,235.3000030517578,39.8224983215332,50.45949935913086,84.37000274658203,40.31999969482422,238.5,235.6300048828125,177816800,103354000,71066700,0,0,2825000
7,2017-10-30,39.55705261230469,50.855499267578125,78.82720947265625,36.552345275878906,218.93560791015625,215.9472198486328,41.68000030517578,50.855499267578125,83.88999938964844,40.189998626708984,237.75999450683594,235.86000061035156,42.01750183105469,51.24850082397461,84.33000183105469,40.189998626708984,237.75999450683594,236.6199951171875,40.93000030517578,50.375,83.11000061035156,40.189998626708984,237.75999450683594,235.52999877929688,40.97249984741211,50.70000076293945,83.69999694824219,40.189998626708984,237.75999450683594,235.6300048828125,178803200,41702000,31756700,0,0,1292500
8,2017-10-31,40.10750198364258,50.832000732421875,78.16007995605469,36.58872604370117,219.1474151611328,216.19444274902344,42.2599983215332,50.832000732421875,83.18000030517578,40.22999954223633,237.99000549316406,236.1300048828125,42.412498474121094,51.20000076293945,84.36000061035156,40.22999954223633,237.99000549316406,236.47000122070312,41.73500061035156,50.520999908447266,83.11000061035156,40.22999954223633,237.99000549316406,235.89999389648438,41.974998474121094,50.76100158691406,84.36000061035156,40.22999954223633,237.99000549316406,236.25999450683594,144187200,26614000,27086600,0,0,1357600
