,index,Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,,,AAPL,GOOG,MSFT,SWPPX,VFIAX,VOO,AAPL,GOOG,MSFT,SWPPX,VFIAX,VOO,AAPL,GOOG,MSFT,SWPPX,VFIAX,VOO,AAPL,GOOG,MSFT,SWPPX,VFIAX,VOO,AAPL,GOOG,MSFT,SWPPX,VFIAX,VOO,AAPL,GOOG,MSFT,SWPPX,VFIAX,VOO
0,1,2017-10-20,37.07286071777344,49.40999984741211,74.0538101196289,36.57963562011719,219.110595703125,216.221923828125,39.0625,49.40999984741211,78.80999755859375,40.220001220703125,237.9499969482422,236.16000366210938,39.4375,49.54999923706055,78.97000122070312,40.220001220703125,237.9499969482422,236.19000244140625,38.9900016784668,49.229000091552734,78.22000122070312,40.220001220703125,237.9499969482422,235.52999877929688,39.15250015258789,49.47200012207031,78.31999969482422,40.220001220703125,237.9499969482422,235.8000030517578,95896400,23664000,22866400,0,0,1296300
1,274,2018-11-20,42.77504348754883,51.28799819946289,97.71453094482422,38.31630325317383,229.45115661621094,226.433837890625,44.244998931884766,51.28799819946289,101.70999908447266,41.38999938964844,244.63999938964844,242.77000427246094,45.36750030517578,51.58700180053711,102.97000122070312,41.38999938964844,244.63999938964844,245.32000732421875,43.877498626708984,49.80099868774414,99.3499984741211,41.38999938964844,244.63999938964844,241.8300018310547,44.592498779296875,50.0,101.80000305175781,41.38999938964844,244.63999938964844,243.83999633789062,271300800,48982000,64052500,0,0,5000900
2,525,2019-11-20,64.5672607421875,65.15249633789062,145.86785888671875,45.9720573425293,275.41876220703125,271.8863220214844,65.79750061035156,65.15249633789062,149.6199951171875,48.349998474121094,287.6400146484375,285.4599914550781,66.5199966430664,65.75,150.83999633789062,48.349998474121094,287.6400146484375,286.4200134277344,65.0999984741211,64.55750274658203,148.4600067138672,48.349998474121094,287.6400146484375,283.8900146484375,66.38500213623047,65.58699798583984,150.30999755859375,48.349998474121094,287.6400146484375,285.9100036621094,106234400,26172000,25696800,0,0,2816300
3,755,2020-10-20,116.10841369628906,77.79650115966797,210.93170166015625,51.790348052978516,310.0821228027344,306.1614074707031,117.51000213623047,77.79650115966797,214.64999389648438,53.41999816894531,317.9200134277344,315.4100036621094,118.9800033569336,78.875,217.3699951171875,53.41999816894531,317.9200134277344,318.6700134277344,115.62999725341797,76.28350067138672,213.08999633789062,53.41999816894531,317.9200134277344,314.7799987792969,116.19999694824219,76.35250091552734,215.8000030517578,53.41999816894531,317.9200134277344,315.4800109863281,124423700,44834000,22753500,0,0,3066600
4,1007,2021-10-20,148.4282684326172,142.4149932861328,304.8568115234375,69.22386169433594,414.4450988769531,409.59197998046875,149.25999450683594,142.4149932861328,307.4100036621094,70.12000274658203,418.9700012207031,415.989990234375,149.75,144.2477569580078,309.70001220703125,70.12000274658203,418.9700012207031,416.2200012207031,148.1199951171875,141.91200256347656,306.1099853515625,70.12000274658203,418.9700012207031,414.6499938964844,148.6999969482422,144.22250366210938,309.2099914550781,70.12000274658203,418.9700012207031,414.739990234375,58418800,17940000,16537100,0,0,3208200
5,1259,2022-10-20,143.38999938964844,100.52999877929688,236.14999389648438,56.810001373291016,338.489990234375,335.8299865722656,143.38999938964844,100.52999877929688,236.14999389648438,56.810001373291016,338.489990234375,335.8299865722656,145.88999938964844,103.0,241.30999755859375,56.810001373291016,338.489990234375,342.4200134277344,142.64999389648438,99.97000122070312,234.8699951171875,56.810001373291016,338.489990234375,335.04998779296875,143.02000427246094,100.81999969482422,235.77000427246094,56.810001373291016,338.489990234375,338.1700134277344,64522000,25125100,21811000,0,0,3459100
